Short, Long, Final Amount
15, 100, 101657.42
15, 120, 101438.46
15, 110, 101748.86
15, 130, 102299.74
15, 140, 102182.51
15, 160, 102300.84
15, 150, 102398.55
15, 170, 102277.12
15, 180, 102245.59
15, 190, 102162.84
20, 100, 101059.81
20, 110, 101608.04
20, 120, 101634.73
20, 130, 101734.87
20, 140, 102105.29
20, 150, 102611.50
20, 160, 102498.52
20, 180, 102451.78
20, 170, 102681.06
20, 190, 102416.94
25, 100, 100484.75
25, 110, 100925.36
25, 120, 101246.67
25, 130, 102018.09
25, 140, 102319.88
25, 150, 102050.01
25, 170, 102583.78
25, 160, 102702.65
25, 180, 102426.82
25, 190, 102595.45
30, 100, 100749.64
30, 110, 101798.87
30, 120, 102045.10
30, 130, 102317.35
30, 150, 102633.79
30, 140, 102647.65
30, 160, 102638.49
30, 170, 102689.76
30, 180, 102236.20
30, 190, 102379.20
35, 100, 101446.42
35, 110, 101930.95
35, 120, 102345.34
35, 130, 102875.30
35, 140, 103170.03
35, 150, 102600.00
35, 160, 102213.08
35, 170, 102424.52
35, 180, 102529.03
35, 190, 102263.04
40, 100, 102141.37
40, 110, 102204.65
40, 120, 102178.44
40, 130, 102924.72
40, 140, 103216.92
40, 150, 102612.08
40, 160, 102387.94
40, 170, 102494.96
40, 180, 102147.18
40, 190, 102629.75
45, 100, 102038.39
45, 120, 102165.27
45, 110, 102373.64
45, 130, 102336.95
45, 140, 102731.82
45, 150, 102836.13
45, 160, 102455.84
45, 170, 101777.57
45, 180, 101505.82
45, 190, 101840.95
50, 100, 101849.03
50, 110, 102340.46
50, 120, 102006.58
50, 140, 102472.90
50, 130, 102413.91
50, 150, 102677.98
50, 160, 101867.10
50, 170, 101761.65
50, 180, 101656.53
50, 190, 101217.29
